review,rating,predicted_sentiment,predicted_theme
The app crashes every time I open it after the latest update.,1,Negative,Crash
Constant crashing on startup. Force close again and again.,1,Negative,Crash
App keeps crashing when I try to open messages.,2,Negative,Crash
It crashed three times today. Unusable.,1,Negative,Crash
Force close happens whenever I upload a photo.,2,Negative,Crash
Crashes randomly during checkout. Please fix.,1,Negative,Crash
After update the app is crashing nonstop.,2,Negative,Crash
My phone says app stopped working. Crashes immediately.,1,Negative,Crash
Keeps closing when I switch tabs. Crash issue.,2,Negative,Crash
Worst update ever. Crashes on launch every single time.,1,Negative,Crash
I cannot login to my account.,1,Negative,Login Problem
Can't sign in even with correct password.,2,Negative,Login Problem
Login fails every time. Authentication error.,1,Negative,Login Problem
Unable to log in after changing my password.,2,Negative,Login Problem
Sign in page is broken. OTP never arrives.,1,Negative,Login Problem
Can't log in on my new phone.,2,Negative,Login Problem
"Login sometimes works, sometimes not.",3,Negative,Login Problem
Cannot sign in to my account since yesterday.,1,Negative,Login Problem
Password reset works but then login fails.,2,Negative,Login Problem
Unable to login. Keeps saying invalid credentials.,1,Negative,Login Problem
The app is so slow and laggy it freezes constantly.,2,Negative,Performance Issue
Freezing every few minutes. Terrible performance.,1,Negative,Performance Issue
Very slow loading. Takes forever to open.,2,Negative,Performance Issue
A bit laggy when scrolling through the feed.,3,Neutral,Performance Issue
Not responding half the time. Hang issues.,1,Negative,Performance Issue
Battery drain and lag after the last update.,2,Negative,Crash
Stuttering and freeze when opening camera.,2,Negative,Performance Issue
App hangs on splash screen forever.,1,Negative,Other
Sometimes slow but acceptable.,3,Negative,Performance Issue
Laggy interface and freezing videos.,2,Negative,Performance Issue
The interface is confusing and the layout is messy.,2,Negative,UI Problem
Buttons are too small and hard to tap.,3,Neutral,Other
Ugly design. The UI looks outdated.,2,Negative,UI Problem
Dark mode broken and font size is unreadable.,3,Neutral,UI Problem
Hard to navigate. Cluttered screen layout.,2,Negative,UI Problem
Nice features but the button placement is awkward.,4,Positive,UI Problem
Confusing UI makes simple tasks difficult.,2,Negative,UI Problem
